"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jveEpghZ7R","http://ift.tt/2k8PSHJ","ift.tt/2k8PSHJ","30.0","53.0","0.0","53.0","0.0","null","null","822266501197664256","null","False","0.0","8.2226650119766426E17","null","False","Fri Jan 20 02:16:25 +0000 2017","null","False","[民主書院訊息]廣西北海市白虎頭村再遭強拆 維權村長被拘捕 https://t.co/jveEpghZ7R","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ZbFxXCLvTd","http://ift.tt/2jF2ohc","ift.tt/2jF2ohc","33.0","56.0","0.0","56.0","0.0","null","null","822264063715577857","null","False","0.0","8.2226406371557786E17","null","False","Fri Jan 20 02:06:44 +0000 2017","null","False","[民主書院訊息]梁振英發表任內最後施政報告民主派批未履行競選承諾 https://t.co/ZbFxXCLvTd","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/L0bF8vq0zU","http://ift.tt/2jefvCK","ift.tt/2jefvCK","15.0","38.0","0.0","38.0","0.0","null","null","822262981610311681","null","False","0.0","8.2226298161031168E17","null","False","Fri Jan 20 02:02:26 +0000 2017","null","False","[永社]轉型正義真的做得不夠 https://t.co/L0bF8vq0zU","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/01rfJvXHCq","http://ift.tt/2iHqBE7","ift.tt/2iHqBE7","20.0","43.0","0.0","43.0","0.0","null","null","822242261052309504","null","False","0.0","8.222422610523095E17","null","False","Fri Jan 20 00:40:06 +0000 2017","null","False","[親子共學訊息]謝謝你願意說出你的感受 https://t.co/01rfJvXHCq","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/SUif3hzTbt","http://ift.tt/2k4kw0S","ift.tt/2k4kw0S","28.0","51.0","0.0","51.0","0.0","null","null","822093367895015424","null","False","0.0","8.2209336789501542E17","null","False","Thu Jan 19 14:48:27 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/SUif3hzTbt","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/j1LNXg3Bnm","http://ift.tt/2jCmkRF","ift.tt/2jCmkRF","28.0","51.0","0.0","51.0","0.0","null","null","822032984899457024","null","False","0.0","8.2203298489945702E17","null","False","Thu Jan 19 10:48:30 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/j1LNXg3Bnm","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/eaI0lapo27","http://ift.tt/2iMzWpq","ift.tt/2iMzWpq","28.0","51.0","0.0","51.0","0.0","null","null","822032982970105856","null","False","0.0","8.2203298297010586E17","null","False","Thu Jan 19 10:48:30 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/eaI0lapo27","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wLl2PmHlB7","http://ift.tt/2jbOzUl","ift.tt/2jbOzUl","42.0","65.0","0.0","65.0","0.0","null","null","822030152251084800","null","False","0.0","8.220301522510848E17","null","False","Thu Jan 19 10:37:15 +0000 2017","null","False","[人約盟訊息]【採訪通知】 兩公約第二次國家報告國際審查   非政府組織聯合記者會 https://t.co/wLl2PmHlB7","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/WSxEgLGdA1","http://ift.tt/2k6z04B","ift.tt/2k6z04B","29.0","52.0","0.0","52.0","0.0","null","null","822022862244577282","null","False","0.0","8.2202286224457728E17","null","False","Thu Jan 19 10:08:17 +0000 2017","null","False","[環資訊息]泰豐輪胎火災 桃園環局：揮發性有機物濃度不高 https://t.co/WSxEgLGdA1","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/D0ULUOX3ib","http://ift.tt/2k3G8uh","ift.tt/2k3G8uh","35.0","58.0","0.0","58.0","0.0","null","null","822018092226191360","null","False","0.0","8.2201809222619136E17","null","False","Thu Jan 19 09:49:20 +0000 2017","null","False","[老盟訊息]老盟舉辦「用愛暖冬  溫馨團圓情」，讓長輩在回暖中團圓～ https://t.co/D0ULUOX3ib","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/5Y7JR0HBJc","http://ift.tt/2iUXMTm","ift.tt/2iUXMTm","28.0","51.0","0.0","51.0","0.0","null","null","822002729015013376","null","False","0.0","8.2200272901501338E17","null","False","Thu Jan 19 08:48:17 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/5Y7JR0HBJc","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vLtgcREuzQ","http://ift.tt/2jOhDC0","ift.tt/2jOhDC0","28.0","51.0","0.0","51.0","0.0","null","null","822002727379050499","null","False","0.0","8.220027273790505E17","null","False","Thu Jan 19 08:48:16 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/vLtgcREuzQ","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Nuy6WR0bXZ","http://ift.tt/2jAhkh0","ift.tt/2jAhkh0","18.0","41.0","0.0","41.0","0.0","null","null","821986577983426562","null","False","0.0","8.2198657798342656E17","null","False","Thu Jan 19 07:44:06 +0000 2017","null","False","[高雄公監盟]誰能監督議會的預算？ https://t.co/Nuy6WR0bXZ","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/uRUcV2Z2Um","http://ift.tt/2jzWmPo","ift.tt/2jzWmPo","32.0","55.0","0.0","55.0","0.0","null","null","821967571557740544","null","False","0.0","8.2196757155774054E17","null","False","Thu Jan 19 06:28:35 +0000 2017","null","False","[環資訊息]露天沒採完改挖地 利英大理石礦案遭打入「重作環評」 https://t.co/uRUcV2Z2Um","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jhxUBTP5sU","http://ift.tt/2k2bwt8","ift.tt/2k2bwt8","19.0","42.0","0.0","42.0","0.0","null","null","821946392826486784","null","False","0.0","8.2194639282648678E17","null","False","Thu Jan 19 05:04:25 +0000 2017","null","False","[社大全促會]社大好學報 NO.40 https://t.co/jhxUBTP5sU","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/avfIXHWf3K","http://ift.tt/2iTSAPL","ift.tt/2iTSAPL","63.0","86.0","0.0","86.0","0.0","null","null","821942614526197761","null","False","0.0","8.2194261452619776E17","null","False","Thu Jan 19 04:49:24 +0000 2017","null","False","wildathearttw: ""【蠻野講堂】遇見自然學校 - 來自北海道的環境教育經驗_2"" and more videos https://t.co/avfIXHWf3K","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ERO431HTMG","http://ift.tt/2iTTmfj","ift.tt/2iTTmfj","36.0","59.0","0.0","59.0","0.0","null","null","821940026414133248","null","False","0.0","8.2194002641413325E17","null","False","Thu Jan 19 04:39:07 +0000 2017","null","False","wildathearttw just uploaded a video https://t.co/ERO431HTMG","en","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ek7Txdcabw","http://ift.tt/2jzuyKM","ift.tt/2jzuyKM","36.0","59.0","0.0","59.0","0.0","null","null","821930023569551361","null","False","0.0","8.2193002356955136E17","null","False","Thu Jan 19 03:59:22 +0000 2017","null","False","wildathearttw just uploaded a video https://t.co/ek7Txdcabw","en","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/aHLZNKZEEc","http://ift.tt/2jznZYy","ift.tt/2jznZYy","36.0","59.0","0.0","59.0","0.0","null","null","821928713185071104","null","False","0.0","8.219287131850711E17","null","False","Thu Jan 19 03:54:10 +0000 2017","null","False","wildathearttw just uploaded a video https://t.co/aHLZNKZEEc","en","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VoH0qQYlFn","http://ift.tt/2jNAa1m","ift.tt/2jNAa1m","26.0","49.0","0.0","49.0","0.0","null","null","821924745511862274","null","False","0.0","8.2192474551186227E17","null","False","Thu Jan 19 03:38:24 +0000 2017","null","False","[環資訊息]廖桂賢：規劃一個生態、正義的社子島未來 https://t.co/VoH0qQYlFn","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9YrX0v9H7R","http://ift.tt/2iLf0iJ","ift.tt/2iLf0iJ","28.0","51.0","0.0","51.0","0.0","null","null","821919678931079169","null","False","0.0","8.2191967893107917E17","null","False","Thu Jan 19 03:18:16 +0000 2017","null","False","[綠色和平台灣]滙豐銀行，怎可助長棕櫚油企業破壞雨林？ https://t.co/9YrX0v9H7R","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xRUAOFU5Bs","http://ift.tt/2jaK6Bq","ift.tt/2jaK6Bq","27.0","50.0","0.0","50.0","0.0","null","null","821918449467330561","null","False","0.0","8.2191844946733056E17","null","False","Thu Jan 19 03:13:23 +0000 2017","null","False","[環資訊息]剛蓋好就棄用 中國小型水電追不上火電成本 https://t.co/xRUAOFU5Bs","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KcwEPHijtb","http://ift.tt/2k2aL3j","ift.tt/2k2aL3j","39.0","62.0","0.0","62.0","0.0","null","null","821917158489948160","null","False","0.0","8.2191715848994816E17","null","False","Thu Jan 19 03:08:15 +0000 2017","null","False","[綠色和平台灣]綠色和平發布〈點擊綠報告〉　宏碁 華碩 電信三雄列入全球評比 https://t.co/KcwEPHijtb","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CH6MfLcnaP","http://ift.tt/2iDvUo5","ift.tt/2iDvUo5","28.0","51.0","0.0","51.0","0.0","null","null","821909617441697794","null","False","0.0","8.2190961744169779E17","null","False","Thu Jan 19 02:38:17 +0000 2017","null","False","[環資訊息]國際快遞走私螞蟻　入侵風險不明  依法查緝 https://t.co/CH6MfLcnaP","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8Ri2v8EsoK","http://ift.tt/2iLaWiv","ift.tt/2iLaWiv","31.0","54.0","0.0","54.0","0.0","null","null","821905379256922112","null","False","0.0","8.2190537925692211E17","null","False","Thu Jan 19 02:21:27 +0000 2017","null","False","[民主書院訊息]林鄭選特首梁振英贊有擔當 曾俊華民調大幅領先 https://t.co/8Ri2v8EsoK","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AoHq5EWhgn","http://ift.tt/2iTpqQC","ift.tt/2iTpqQC","38.0","61.0","0.0","61.0","0.0","null","null","821905377096826881","null","False","0.0","8.2190537709682688E17","null","False","Thu Jan 19 02:21:26 +0000 2017","null","False","[民主書院訊息]趙紫陽忌日各界人士往故居祭奠 鮑彤被禁寫紀念文章及接受采訪 https://t.co/AoHq5EWhgn","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4HBQlPZ7sp","http://ift.tt/2iLel0O","ift.tt/2iLel0O","36.0","59.0","0.0","59.0","0.0","null","null","821905374966120448","null","False","0.0","8.2190537496612045E17","null","False","Thu Jan 19 02:21:26 +0000 2017","null","False","[民主書院訊息]宣誓風波案上訴終審法院申請遭駁回 梁頌恆：是戰爭的開始 https://t.co/4HBQlPZ7sp","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lLdrrCYQSI","http://ift.tt/2iTrGre","ift.tt/2iTrGre","28.0","51.0","0.0","51.0","0.0","null","null","821904043018752000","null","False","0.0","8.21904043018752E17","null","False","Thu Jan 19 02:16:08 +0000 2017","null","False","[民主書院訊息]向川普喊話？習近平：貿易戰爭不會有贏家 https://t.co/lLdrrCYQSI","zh","null","null","null"
