"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NFG2NxI2G0","https://twngo.cf/2C6jgUO","twngo.cf/2C6jgUO","23.0","46.0","","","","","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","940790169111801856","null","False","0.0","9.4079016911180186E17","null","False","Wed Dec 13 03:47:10 +0000 2017","null","False","[荒野訊息]家戶水污費萬萬不可從水污法中刪除 https://t.co/NFG2NxI2G0","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/WoBbvkiK07","https://twngo.cf/2nVMYcb","twngo.cf/2nVMYcb","12.0","35.0","","","","","","","","","","","","","","","","","","","0.0","35.0","0.0","null","null","940790167014727680","null","False","0.0","9.4079016701472768E17","null","False","Wed Dec 13 03:47:09 +0000 2017","null","False","[荒野訊息]菜頭與稻士 https://t.co/WoBbvkiK07","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Yh0Rvc1hUV","https://twngo.cf/2C7SATD","twngo.cf/2C7SATD","22.0","45.0","","","","","","","","","","","","","","","","","","","0.0","45.0","0.0","null","null","940790164586139648","null","False","0.0","9.4079016458613965E17","null","False","Wed Dec 13 03:47:08 +0000 2017","null","False","[荒野訊息]農夫心中的一畝田-五十二甲溼地 https://t.co/Yh0Rvc1hUV","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vF06ngBAKa","https://twngo.cf/2nSdt29","twngo.cf/2nSdt29","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","940790160735768578","null","False","0.0","9.4079016073576858E17","null","False","Wed Dec 13 03:47:08 +0000 2017","null","False","[荒野訊息]【理事長的話-快報305期】為後代子孫留下永續的利 https://t.co/vF06ngBAKa","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/F9rwl55Vmo","https://twngo.cf/2z5UeFU","twngo.cf/2z5UeFU","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","940782930233909250","null","False","0.0","9.4078293023390925E17","null","False","Wed Dec 13 03:18:24 +0000 2017","null","False","[華人民主書院]《公投法》三讀 通過門檻大幅下修 鳥籠公投走入歷史 https://t.co/F9rwl55Vmo","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/N26JrXeLhG","https://twngo.cf/2AgxbGy","twngo.cf/2AgxbGy","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","940782927214010368","null","False","0.0","9.4078292721401037E17","null","False","Wed Dec 13 03:18:23 +0000 2017","null","False","[華人民主書院]北京“低端人口”被清理無分文補償 續留者惶恐不安 https://t.co/N26JrXeLhG","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/93xNuacDrY","https://twngo.cf/2z5WTj0","twngo.cf/2z5WTj0","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","940782923082498048","null","False","0.0","9.4078292308249805E17","null","False","Wed Dec 13 03:18:22 +0000 2017","null","False","[華人民主書院]廣東順德村民逆風維權 當局夜半抓人 https://t.co/93xNuacDrY","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2Ta0lDI5jo","https://twngo.cf/2z5ijwl","twngo.cf/2z5ijwl","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","940780397847302146","null","False","0.0","9.4078039784730214E17","null","False","Wed Dec 13 03:08:20 +0000 2017","null","False","[華人民主書院]紐約《劉曉波紀念文集》發布會吁揚""精神遺產"" https://t.co/2Ta0lDI5jo","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ZlaNunT9O4","https://twngo.cf/2BYuI44","twngo.cf/2BYuI44","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","940774444196392960","null","False","0.0","9.4077444419639296E17","null","False","Wed Dec 13 02:44:40 +0000 2017","null","False","[環資訊息]助海岸造林  慈心種樹團隊研發「水寶盆」不缺水配方 https://t.co/ZlaNunT9O4","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2KX73N0h78","https://twngo.cf/2C79di9","twngo.cf/2C79di9","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","940773157362917377","null","False","0.0","9.4077315736291738E17","null","False","Wed Dec 13 02:39:34 +0000 2017","null","False","[環資訊息]資訊揭露有進步  企業永續報告體檢：74％正向成長 https://t.co/2KX73N0h78","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
