"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/HqgoTP9IWA","https://twngo.cf/2MvN7ul","twngo.cf/2MvN7ul","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","1012171041748279296","null","False","0.0","1.0121710417482793E18","null","False","Thu Jun 28 03:09:16 +0000 2018","null","False","[環盟訊息]台灣環盟對新修正空污法的意見聲明 https://t.co/HqgoTP9IWA","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/5U8c1rTcSt","https://twngo.cf/2N4c4xS","twngo.cf/2N4c4xS","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","1.0","null","null","1012163996353466370","null","False","0.0","1.01216399635346637E18","null","False","Thu Jun 28 02:41:16 +0000 2018","null","False","[環資訊息]顏聖紘：台灣獼猴自保育類下架（上）：除名前沒被說清楚的議題 https://t.co/5U8c1rTcSt","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hdjshhH550","https://twngo.cf/2tIHFwh","twngo.cf/2tIHFwh","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","1012162699076173824","null","False","0.0","1.01216269907617382E18","null","False","Thu Jun 28 02:36:07 +0000 2018","null","False","[環資訊息]曾自居「綠色銀行」  亞投行今破功投資煤炭 https://t.co/hdjshhH550","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sRrJgUKZMh","https://twngo.cf/2tLi2L8","twngo.cf/2tLi2L8","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","1012156939302776832","null","False","0.0","1.01215693930277683E18","null","False","Thu Jun 28 02:13:13 +0000 2018","null","False","[荒野訊息]【人才招募】台北分會專職秘書招募 https://t.co/sRrJgUKZMh","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LiFL7zkW58","https://twngo.cf/2Ivwj4h","twngo.cf/2Ivwj4h","54.0","77.0","","","","","","","","","","","","","","","0.0","77.0","0.0","null","null","1012009679185154048","null","False","0.0","1.01200967918515405E18","null","False","Wed Jun 27 16:28:04 +0000 2018","null","False","台灣同志諮詢熱線 Taiwan Tongzhi Hotline just uploaded a video https://t.co/LiFL7zkW58","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/uuh4MFwEsp","https://twngo.cf/2KnCYCl","twngo.cf/2KnCYCl","60.0","83.0","","","","","","","","","","","","","","","0.0","83.0","0.0","null","null","1011977801468129281","null","False","0.0","1.01197780146812928E18","null","False","Wed Jun 27 14:21:24 +0000 2018","null","False","[高教工會訊息]【2018.6.27聲明】: 亞太學院師生持續爭取下 教育部終於承諾：「只要還有學生，就不會核定停辦」 https://t.co/uuh4MFwEsp","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8NnzxMNIWs","https://twngo.cf/2MtYyCy","twngo.cf/2MtYyCy","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","1011962169330688002","null","False","0.0","1.011962169330688E18","null","False","Wed Jun 27 13:19:17 +0000 2018","null","False","[公民行動資料庫]【新聞稿】「桃園市議會第一屆第七會期質詢率暨議事透明度」觀察報告 https://t.co/8NnzxMNIWs","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Medium","74.0","81.0","jxtsai","a5288","3.0","9.0","809491","809491.0","","","","","","","","","","","","","","","","","","","","0.0","140.0","0.0","null","null","1011961989529153536","null","False","0.0","1.01196198952915354E18","null","","Wed Jun 27 13:18:34 +0000 2018","null","False","RT @a5288: 雖然目前台灣 NGO 尚無法放棄對臉書的依賴, 但若能分散地利用各式網路平台服務更好。之前試圖說服平冤協會把它們電子報也放到 #Medium 他們每月二期的電子報是我近二年來看到台灣NGO當中做得最好的一份。當然平冤的許多工作往往是網路上看不到的\nhttp…","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VhanBf7LsP","https://twngo.cf/2KrcY5O","twngo.cf/2KrcY5O","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","1011959658125447169","null","False","0.0","1.01195965812544717E18","null","False","Wed Jun 27 13:09:18 +0000 2018","null","False","[公民行動資料庫]【新聞稿】啟動家暴預防工程 刻不容緩 ─ 家庭暴力防治法20週年 https://t.co/VhanBf7LsP","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8Nxqvg7hHx","https://twngo.cf/2K9KdP0","twngo.cf/2K9KdP0","46.0","69.0","","","","","","","","","","","","","","","0.0","69.0","0.0","null","null","1011957159884677120","null","False","0.0","1.01195715988467712E18","null","False","Wed Jun 27 12:59:22 +0000 2018","null","False","[公民行動資料庫]【新聞稿】主管機關對財團法人醫院弊端處理不力   醫改會赴監院陳情檢舉！ https://t.co/8Nxqvg7hHx","zh","","null","null","null","","","","","","","","","","","","","",""
