"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6hE3sJRqvi","https://twngo.cf/2tx7teX","twngo.cf/2tx7teX","49.0","72.0","","","","","","","","","","","","","","","0.0","72.0","0.0","null","null","1009731167447404545","null","False","0.0","1.00973116744740454E18","null","False","Thu Jun 21 09:34:04 +0000 2018","null","False","World Vision Taiwan台灣世界展望會 just uploaded a video https://t.co/6hE3sJRqvi","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tGHUnQhDq8","https://twngo.cf/2lqBZmW","twngo.cf/2lqBZmW","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1009723722406735872","null","False","0.0","1.00972372240673587E18","null","False","Thu Jun 21 09:04:29 +0000 2018","null","False","[環資訊息]汗得建築工事實驗學校開幕 培養節能建築工匠青年 https://t.co/tGHUnQhDq8","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pINFHf7Bcn","https://twngo.cf/2JVpD53","twngo.cf/2JVpD53","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","1009723640861089792","null","False","0.0","1.00972364086108979E18","null","False","Thu Jun 21 09:04:10 +0000 2018","null","False","[愛滋感染者權益促進會]【新聞稿】20180621台灣愛滋汙名與歧視調查發布記者會 https://t.co/pINFHf7Bcn","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vX0Uv1yYuo","https://twngo.cf/2K3qlMT","twngo.cf/2K3qlMT","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","1009718390032945153","null","False","0.0","1.00971839003294515E18","null","False","Thu Jun 21 08:43:18 +0000 2018","null","False","[人本訊息]20180620人本教育基金會新聞稿--體制暴力何時休？ https://t.co/vX0Uv1yYuo","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8fddqY9dOy","https://twngo.cf/2I82Ugn","twngo.cf/2I82Ugn","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","1009712365762465792","null","False","0.0","1.00971236576246579E18","null","False","Thu Jun 21 08:19:22 +0000 2018","null","False","[環資訊息]縣道193爭議環差 環團提訴願 籲環署匡正花縣府 https://t.co/8fddqY9dOy","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8QZXqgfsIp","https://twngo.cf/2tptR9L","twngo.cf/2tptR9L","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","1009710677659963392","null","False","0.0","1.00971067765996339E18","null","False","Thu Jun 21 08:12:39 +0000 2018","null","False","[蠻野心足訊息][聯合新聞稿] 別讓我們的方便成為地球的塑便 https://t.co/8QZXqgfsIp","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tOLhpEgmf4","https://twngo.cf/2twRDB1","twngo.cf/2twRDB1","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","1009708551344934912","null","False","0.0","1.00970855134493491E18","null","False","Thu Jun 21 08:04:12 +0000 2018","null","False","[環資訊息]「別讓方便變塑便！」環團呼籲環保署 減塑期程不能讓步 https://t.co/tOLhpEgmf4","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/HmK4tUNk3h","https://twngo.cf/2Iakxfi","twngo.cf/2Iakxfi","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","1009699815696076800","null","False","0.0","1.0096998156960768E18","null","False","Thu Jun 21 07:29:30 +0000 2018","null","False","聯合勸募 just uploaded a video https://t.co/HmK4tUNk3h","ja","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/rT181DpOmO","https://twngo.cf/2JSDFEt","twngo.cf/2JSDFEt","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1009675848830652416","null","False","0.0","1.00967584883065242E18","null","False","Thu Jun 21 05:54:15 +0000 2018","null","False","婦女新知基金會 just uploaded a video https://t.co/rT181DpOmO","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/i1kMgT0Nil","https://twngo.cf/2I63PxL","twngo.cf/2I63PxL","51.0","74.0","","","","","","","","","","","","","","","0.0","74.0","0.0","null","null","1009657991979823110","null","False","0.0","1.0096579919798231E18","null","False","Thu Jun 21 04:43:18 +0000 2018","null","False","[人本訊息]20180621人本教育基會會新聞稿--專審會能還給學生正義嗎？請新北市從正義國小案開始 https://t.co/i1kMgT0Nil","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/oqbe6ieJuQ","https://twngo.cf/2JViq4W","twngo.cf/2JViq4W","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","1009651513361395712","null","False","0.0","1.00965151336139571E18","null","False","Thu Jun 21 04:17:33 +0000 2018","null","False","[循環台灣基金會]台荷兩大循環經濟網絡，簽訂合作備忘錄 https://t.co/oqbe6ieJuQ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/E5uuSgngwT","https://twngo.cf/2M6wQf0","twngo.cf/2M6wQf0","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","1009648232681672704","null","False","0.0","1.0096482326816727E18","null","False","Thu Jun 21 04:04:31 +0000 2018","null","False","[環資訊息] 替再生塑膠訂出「碳效益」  塑膠回收再利用的新出路？  https://t.co/E5uuSgngwT","zh","null","null","null","","","","","","","","","","","","","",""
