"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JJlKDf0yHr","http://to.twngo.xyz/2t3R27g","to.twngo.xyz/2t3R27g","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","884243883227574272","null","False","0.0","8.8424388322757427E17","null","False","Mon Jul 10 02:52:24 +0000 2017","null","False","[環資訊息]衛星校正資料揭露 暖化速度竟是過去所知的140% https://t.co/JJlKDf0yHr","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","59.0","65.0","https://t.co/PQ1aq1JB5v","http://to.twngo.xyz/2u1Mra1","to.twngo.xyz/2u1Mra1","35.0","58.0","","","","","","","","","","","","","","","0.0","71.0","0.0","null","null","884241408282025988","null","False","0.0","8.8424140828202598E17","null","False","Mon Jul 10 02:42:34 +0000 2017","null","False","[民主書院訊息]全國港澳研究會副會長：不認為中央兩年內會就23條立法 https://t.co/PQ1aq1JB5v #China #中國人權","zh","null","null","null","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","66.0","71.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/COp0zELNYQ","http://to.twngo.xyz/2u81m3k","to.twngo.xyz/2u81m3k","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","884240107338960896","null","False","0.0","8.842401073389609E17","null","False","Mon Jul 10 02:37:24 +0000 2017","null","False","[環資訊息]鳥松濕地環境藝術季三度開展  結合小農市集、民眾參與藝術創作 https://t.co/COp0zELNYQ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/oNX2o1CcxL","http://to.twngo.xyz/2u7ODxp","to.twngo.xyz/2u7ODxp","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","884234758686986241","null","False","0.0","8.8423475868698624E17","null","False","Mon Jul 10 02:16:09 +0000 2017","null","False","公民監督國會聯盟 just uploaded a video https://t.co/oNX2o1CcxL","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/R7N6WP0VhJ","http://to.twngo.xyz/2v08088","to.twngo.xyz/2v08088","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","884217397359648768","null","False","0.0","8.8421739735964877E17","null","False","Mon Jul 10 01:07:10 +0000 2017","null","False","[環資訊息]反西港外環道 農青扮金城武 田間紮營逾60天 https://t.co/R7N6WP0VhJ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qCoN5TRTjo","http://to.twngo.xyz/2t25rRD","to.twngo.xyz/2t25rRD","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","884055961933148161","null","False","0.0","8.8405596193314816E17","null","False","Sun Jul 09 14:25:40 +0000 2017","null","False","[蠻野心足訊息]2017年06月捐款徵信 https://t.co/qCoN5TRTjo","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","L L Schiefelbein","lls7474_l","3.0","13.0","4860710461","4.860710461E9","","","","https://t.co/9wx3yIVPn4","http://mo.nu/r/NGOnewsTW/4408/0?uid=4Fe6","mo.nu/r/NGOnewsTW/44…","89.0","112.0","","","","","","","","","","","","","","","0.0","137.0","0.0","null","null","883700695437889536","null","False","0.0","8.8370069543788954E17","null","False","Sat Jul 08 14:53:58 +0000 2017","null","False","RT @lls7474_l: Donate a tweet a day to @NGOnewsTW. Click the link and become a supporter https://t.co/9wx3yIVPn4 ☞https://t.co/XbGhM5zQx0","en","null","null","null","","","","","","","","","","","","","",""
"","","","NGO news from Taiwan","NGOnewsTW","39.0","49.0","770241326172418048","7.7024132617241805E17","","","","https://t.co/XbGhM5zQx0","http://justcoz.org","justcoz.org","114.0","137.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/N0l4yS3spZ","http://to.twngo.xyz/2tQl573","to.twngo.xyz/2tQl573","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","883326281470930944","null","False","0.0","8.8332628147093094E17","null","False","Fri Jul 07 14:06:11 +0000 2017","null","False","cepu 彰化縣環境保護聯盟 just uploaded a video https://t.co/N0l4yS3spZ","zh","null","null","null","","","","","","","","","","","","","",""
