"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/QtMh7Ux7F0","http://ift.tt/2cYs4zt","ift.tt/2cYs4zt","39.0","62.0","0.0","62.0","0.0","null","null","777368347658874880","null","False","0.0","7.7736834765887488E17","null","False","Sun Sep 18 04:47:11 +0000 2016","null","False","[同志熱線訊息]20160928【南部】Gen Silent放映暨映後座談會 https://t.co/QtMh7Ux7F0","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/16Wdd1DQw2","http://ift.tt/2cGePpD","ift.tt/2cGePpD","18.0","41.0","0.0","41.0","0.0","null","null","777317835521527808","null","False","0.0","7.7731783552152781E17","null","False","Sun Sep 18 01:26:28 +0000 2016","null","False","[環資訊息]面對生活的逼問：竹節蟲 https://t.co/16Wdd1DQw2","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/bXsjaTeIyr","http://ift.tt/2cy7LxA","ift.tt/2cy7LxA","11.0","34.0","0.0","34.0","0.0","null","null","777282608602447873","null","False","0.0","7.7728260860244787E17","null","False","Sat Sep 17 23:06:29 +0000 2016","null","False","[環資訊息]熱浪來襲 https://t.co/bXsjaTeIyr","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ijTyJRJroZ","http://ift.tt/2cz1nCN","ift.tt/2cz1nCN","30.0","53.0","0.0","53.0","0.0","null","null","777282606924701696","null","False","0.0","7.772826069247017E17","null","False","Sat Sep 17 23:06:29 +0000 2016","null","False","[環資訊息]目睹一條河流死亡 莊詠婷《野溪整型記》為溪發聲 https://t.co/ijTyJRJroZ","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/z9d8pcxv80","http://ift.tt/2cy8YF6","ift.tt/2cy8YF6","23.0","46.0","0.0","46.0","0.0","null","null","777282604185837568","null","False","0.0","7.7728260418583757E17","null","False","Sat Sep 17 23:06:28 +0000 2016","null","False","[環資訊息]阿拉斯加追候鳥：凍原上的找巢任務 https://t.co/z9d8pcxv80","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Z2RoPhf5Oi","http://ift.tt/2cNqEe9","ift.tt/2cNqEe9","39.0","62.0","0.0","62.0","0.0","null","null","777067860464205824","null","False","0.0","7.7706786046420582E17","null","False","Sat Sep 17 08:53:09 +0000 2016","null","False","[勵馨訊息]勵馨聲明 :家事移工遭性侵　雇主與仲介應負最大責任 -第860期 https://t.co/Z2RoPhf5Oi","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JbIOkYZUCb","http://ift.tt/2cOYE8g","ift.tt/2cOYE8g","33.0","56.0","0.0","56.0","0.0","null","null","776815601893380096","null","False","0.0","7.768156018933801E17","null","False","Fri Sep 16 16:10:46 +0000 2016","null","False","[環資訊息]台化空污毒害50年  彰化人918遊行籲終結燃煤許可 https://t.co/JbIOkYZUCb","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8GfI5QH0aD","http://ift.tt/2cO1L30","ift.tt/2cO1L30","30.0","53.0","0.0","53.0","0.0","null","null","776699264957374464","null","False","0.0","7.7669926495737446E17","null","False","Fri Sep 16 08:28:29 +0000 2016","null","False","慈林教育基金會 just uploaded a video https://t.co/8GfI5QH0aD","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6l1E4SSnZW","http://ift.tt/2csXnHv","ift.tt/2csXnHv","30.0","53.0","0.0","53.0","0.0","null","null","776694260854886400","null","False","0.0","7.766942608548864E17","null","False","Fri Sep 16 08:08:36 +0000 2016","null","False","慈林教育基金會 just uploaded a video https://t.co/6l1E4SSnZW","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/J4czny7n2v","http://ift.tt/2cvuwz5","ift.tt/2cvuwz5","30.0","53.0","0.0","53.0","0.0","null","null","776686589896429568","null","False","0.0","7.7668658989642957E17","null","False","Fri Sep 16 07:38:07 +0000 2016","null","False","慈林教育基金會 just uploaded a video https://t.co/J4czny7n2v","zh","","null","null","null"
