"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/7vEF1KdcNf","http://ift.tt/2fZKx4A","ift.tt/2fZKx4A","36.0","59.0","","","","","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","899639900072550403","null","False","0.0","8.996399000725504E17","null","False","Mon Aug 21 14:30:41 +0000 2017","null","False","[酷兒權益訊息]【公告】特聘夥伴王育慧為本聯盟「精神醫療居家照護顧問」 https://t.co/7vEF1KdcNf","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/w0sw8XTWAb","http://ift.tt/2wfV16I","ift.tt/2wfV16I","36.0","59.0","","","","","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","899608188596744192","null","False","0.0","8.9960818859674419E17","null","False","Mon Aug 21 12:24:40 +0000 2017","null","False","[環資訊息]「撞到月亮的樹」台灣杉等身照海報 捐款500元就能帶回家！ https://t.co/w0sw8XTWAb","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/b3tRYSTQlh","http://ift.tt/2x55eAp","ift.tt/2x55eAp","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","899572814700843008","null","False","0.0","8.9957281470084301E17","null","False","Mon Aug 21 10:04:06 +0000 2017","null","False","[綠色和平台灣]減法生活     夏日降溫書單 https://t.co/b3tRYSTQlh","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VhPeke3aAp","http://ift.tt/2v68ERR","ift.tt/2v68ERR","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","899571646419415041","null","False","0.0","8.9957164641941504E17","null","False","Mon Aug 21 09:59:28 +0000 2017","null","False","[環資訊息]滅香風波「已澄清」 李應元再推中元普渡減香減金 https://t.co/VhPeke3aAp","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XlgAFl8KMv","http://ift.tt/2vh4xBJ","ift.tt/2vh4xBJ","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","899556547570827264","null","False","0.0","8.9955654757082726E17","null","False","Mon Aug 21 08:59:28 +0000 2017","null","False","[綠色和平台灣]地球在燃燒，災難性森林大火頻傳 https://t.co/XlgAFl8KMv","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tzcVBZnmbj","http://ift.tt/2uXaDft","ift.tt/2uXaDft","39.0","62.0","","","","","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","899518236835885057","null","False","0.0","8.9951823683588506E17","null","False","Mon Aug 21 06:27:14 +0000 2017","null","False","[看守台灣協會]台鹼安順廠失去真相的依法判決首部曲——經濟部是台鹼的股東嗎? https://t.co/tzcVBZnmbj","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NSGDC1eU36","http://ift.tt/2wnw21G","ift.tt/2wnw21G","18.0","41.0","","","","","","","","","","","","","","","","","","","0.0","41.0","0.0","null","null","899509527678259200","null","False","0.0","8.995095276782592E17","null","False","Mon Aug 21 05:52:38 +0000 2017","null","False","[蠻野心足訊息]如果是核電廠出事… https://t.co/NSGDC1eU36","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","57.0","63.0","https://t.co/P4EF9QNKx9","http://ift.tt/2wnlNuc","ift.tt/2wnlNuc","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","69.0","0.0","null","null","899490640681197570","null","False","0.0","8.9949064068119757E17","null","False","Mon Aug 21 04:37:35 +0000 2017","null","False","[民主書院訊息]【聲援良心犯】35°C烈日當空撐傘 逼爆灣仔中環 https://t.co/P4EF9QNKx9 #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","54.0","60.0","https://t.co/6YCC1VtL50","http://ift.tt/2xhJjFs","ift.tt/2xhJjFs","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","66.0","0.0","null","null","899490637724217344","null","False","0.0","8.9949063772421734E17","null","False","Mon Aug 21 04:37:34 +0000 2017","null","False","[民主書院訊息]反年改團體鬧世大運 罕見！有國旗沒選手入場 https://t.co/6YCC1VtL50 #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
