"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AIyEskuYR9","https://twngo.cf/2FVPJ2q","twngo.cf/2FVPJ2q","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","970836419156508674","null","False","0.0","9.7083641915650867E17","null","False","Tue Mar 06 01:40:14 +0000 2018","null","False","[華人民主書院]修憲草案曝光！人大：刪主席任期限制維護中央權威 https://t.co/AIyEskuYR9","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/kTVeZzG42a","https://twngo.cf/2D2DRsg","twngo.cf/2D2DRsg","41.0","64.0","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","970836416052817920","null","False","0.0","9.7083641605281792E17","null","False","Tue Mar 06 01:40:13 +0000 2018","null","False","[華人民主書院]陳小魯出殯　習兄弟致哀　 遺體沒蓋中共黨旗　朝野重量級人馬送花圈 https://t.co/kTVeZzG42a","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4LuQ6XcIMR","https://twngo.cf/2FVPFQe","twngo.cf/2FVPFQe","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","970836412701593600","null","False","0.0","9.708364127015936E17","null","False","Tue Mar 06 01:40:12 +0000 2018","null","False","[華人民主書院]頻頻「亮劍」爭預算 中國軍費大增8.1％ https://t.co/4LuQ6XcIMR","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Hs2DX0uCzT","https://twngo.cf/2I7NSby","twngo.cf/2I7NSby","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","970833673468678146","null","False","0.0","9.7083367346867814E17","null","False","Tue Mar 06 01:29:19 +0000 2018","null","False","[白絲帶協會]【網路求職、借貸暗藏陷阱 慎防成詐騙人頭戶】 https://t.co/Hs2DX0uCzT","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OK Taiwan","oktaiwanonline","3.0","18.0","1443780630","1.44378063E9","","","","https://t.co/nBKDyyHqoS","https://netpolicy.taipei.io/%E5%BE%8C%E5%8C%AF%E6%B5%81%E6%99%82%E4%BB%A3%E5%8F%B0%E7%81%A3%E5%9C%A8%E5%9C%8B%E9%9A%9B%E5%8F%83%E8%88%87%E7%9A%84%E7%B5%90%E6%A7%8B%E6%80%A7%E8%84%86%E5%BC%B1-3827b5ed42ca","netpolicy.taipei.io/%E5%BE%8C%E5%8…","55.0","78.0","","","","","","","","","","","","","","","0.0","78.0","0.0","null","null","970830370433216513","null","False","0.0","9.7083037043321651E17","null","False","Tue Mar 06 01:16:12 +0000 2018","null","False","RT @oktaiwanonline: “後匯流時代台灣在國際參與的結構性脆弱” by @scheeinfo https://t.co/nBKDyyHqoS","zh","","null","null","null","","","","","","","","","","","","","",""
"","","","T.H. Schee","scheeinfo","44.0","54.0","13500732","1.3500732E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/danqfbwvpY","https://twngo.cf/2FqXrUm","twngo.cf/2FqXrUm","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","970674321784999937","null","False","0.0","9.7067432178499994E17","null","False","Mon Mar 05 14:56:07 +0000 2018","null","False","[公民行動資料庫]【聲明】修法達成婚姻平權，莫以違憲公投戕害民主社會 https://t.co/danqfbwvpY","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0WuBAZtZ5D","https://twngo.cf/2FUnf97","twngo.cf/2FUnf97","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","970671953005727744","null","False","0.0","9.7067195300572774E17","null","False","Mon Mar 05 14:46:42 +0000 2018","null","False","[公民行動資料庫]【新聞稿】交易契約書曝光！教育部勾結運彩公司竊奪近8億公共資產？ https://t.co/0WuBAZtZ5D","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KDKcavueRF","https://twngo.cf/2oKn1ds","twngo.cf/2oKn1ds","46.0","69.0","","","","","","","","","","","","","","","0.0","69.0","0.0","null","null","970669354709864448","null","False","0.0","9.7066935470986445E17","null","False","Mon Mar 05 14:36:22 +0000 2018","null","False","[公民行動資料庫]【聲明】臺灣汽車貨運倉儲產業工會統一速達(黑貓)分會暨統一速達工會聲明稿 https://t.co/KDKcavueRF","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/T8RAhASnqe","https://twngo.cf/2FcAeSv","twngo.cf/2FcAeSv","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","970645538323533825","null","False","0.0","9.7064553832353382E17","null","False","Mon Mar 05 13:01:44 +0000 2018","null","False","[公民行動資料庫]北市性平委員遴選獨厚家長團體　民團籲暫緩並納入學生代表 https://t.co/T8RAhASnqe","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RMSmrILhwW","https://twngo.cf/2oOHE7C","twngo.cf/2oOHE7C","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","970629302063697920","null","False","0.0","9.7062930206369792E17","null","False","Mon Mar 05 11:57:13 +0000 2018","null","False","[蠻野心足訊息]107.03.05台電核二廠2號機再轉說明會發言單 https://t.co/RMSmrILhwW","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/etm973xjDV","https://twngo.cf/2FV9uHp","twngo.cf/2FV9uHp","48.0","71.0","","","","","","","","","","","","","","","0.0","71.0","0.0","null","null","970608940043120641","null","False","0.0","9.7060894004312064E17","null","False","Mon Mar 05 10:36:19 +0000 2018","null","False","[永續生態旅遊協會]臺灣生態旅遊協會徵「里山倡議推動計畫」派駐林務局人員-20180320截止 https://t.co/etm973xjDV","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/kCdKB3Z1tJ","https://twngo.cf/2FjGJXd","twngo.cf/2FjGJXd","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","970591090905616384","null","False","0.0","9.7059109090561638E17","null","False","Mon Mar 05 09:25:23 +0000 2018","null","False","SOW Taiwan just uploaded a video https://t.co/kCdKB3Z1tJ","en","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pSsh5k8482","https://twngo.cf/2I2xSaV","twngo.cf/2I2xSaV","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","970588031756455938","null","False","0.0","9.7058803175645594E17","null","False","Mon Mar 05 09:13:14 +0000 2018","null","False","[環盟訊息]2018反核遊行3KW太陽能發電設備架設義工招募 https://t.co/pSsh5k8482","zh","","null","null","null","","","","","","","","","","","","","",""
