"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/MSPLBYOy4X","http://to.twngo.xyz/2rHa463","to.twngo.xyz/2rHa463","27.0","50.0","0.0","50.0","0.0","null","null","873010080417021952","null","False","0.0","8.7301008041702195E17","null","False","Fri Jun 09 02:53:17 +0000 2017","null","False","[環資訊息]乳牙會說話 研究：自閉症與重金屬暴露有關 https://t.co/MSPLBYOy4X","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/egH4iMwLQB","http://to.twngo.xyz/2r7xenI","to.twngo.xyz/2r7xenI","50.0","73.0","0.0","73.0","0.0","null","null","873008641011568641","null","False","0.0","8.7300864101156864E17","null","False","Fri Jun 09 02:47:34 +0000 2017","null","False","[台語文基金會]【民視台灣學堂】 2017.06.08講台語當著時:多語言佮共同語—林佳怡、陳豐惠 https://t.co/egH4iMwLQB","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wUjQBsma0W","http://to.twngo.xyz/2sJ8H5o","to.twngo.xyz/2sJ8H5o","24.0","47.0","0.0","47.0","0.0","null","null","873005099773304832","null","False","0.0","8.7300509977330483E17","null","False","Fri Jun 09 02:33:30 +0000 2017","null","False","[環資訊息]胡念祖：世界海洋日 國家前景在海洋 https://t.co/wUjQBsma0W","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/K2cBktFdvG","http://to.twngo.xyz/2rRMMJf","to.twngo.xyz/2rRMMJf","28.0","51.0","0.0","51.0","0.0","null","null","873002533454843906","null","False","0.0","8.730025334548439E17","null","False","Fri Jun 09 02:23:18 +0000 2017","null","False","[環資訊息]首場海洋全球高階會議 聯合國世界環境日登場 https://t.co/K2cBktFdvG","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DijUleP7Nk","http://to.twngo.xyz/2s9SPM2","to.twngo.xyz/2s9SPM2","28.0","51.0","0.0","51.0","0.0","null","null","873000053199253504","null","False","0.0","8.730000531992535E17","null","False","Fri Jun 09 02:13:26 +0000 2017","null","False","[環資訊息]民間力量動起來！「川普退巴」不代表美國繳械 https://t.co/DijUleP7Nk","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","50.0","56.0","https://t.co/oDrkuKz37s","http://to.twngo.xyz/2rRT7UV","to.twngo.xyz/2rRT7UV","26.0","49.0","0.0","62.0","0.0","null","null","872994400510631936","null","False","0.0","8.7299440051063194E17","null","False","Fri Jun 09 01:50:59 +0000 2017","null","False","[民主書院訊息]江西村官燒電子垃圾致30多村民中毒 https://t.co/oDrkuKz37s #China #中國人權","zh","","null","null","null"
"","","","","","","","","","中國人權","57.0","62.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","57.0","63.0","https://t.co/COrkPQwqaN","http://to.twngo.xyz/2r7mcP8","to.twngo.xyz/2r7mcP8","33.0","56.0","0.0","69.0","0.0","null","null","872994398795177985","null","False","0.0","8.7299439879517798E17","null","False","Fri Jun 09 01:50:58 +0000 2017","null","False","[民主書院訊息]林郁方認為公投法修正案若通過 兩岸將掀起滔天巨浪 https://t.co/COrkPQwqaN #China #中國人權","zh","","null","null","null"
"","","","","","","","","","中國人權","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","52.0","58.0","https://t.co/nKiCT6pSis","http://to.twngo.xyz/2rRy1G9","to.twngo.xyz/2rRy1G9","28.0","51.0","0.0","64.0","0.0","null","null","872994397255806978","null","False","0.0","8.7299439725580698E17","null","False","Fri Jun 09 01:50:58 +0000 2017","null","False","[民主書院訊息]香港28名立法會議員啟動彈劾特首梁振英 https://t.co/nKiCT6pSis #China #中國人權","zh","","null","null","null"
