"coordinates","retweeted","source","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/m6VgpcX9py","http://ift.tt/2mRGlpk","ift.tt/2mRGlpk","30.0","53.0","0.0","53.0","0.0","null","null","840369466919784448","null","False","0.0","8.4036946691978445E17","null","False","Sat Mar 11 01:11:08 +0000 2017","null","False","慈林教育基金會 just uploaded a video https://t.co/m6VgpcX9py","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/3QpUdtBwOs","http://ift.tt/2msD1ON","ift.tt/2msD1ON","38.0","61.0","0.0","61.0","0.0","null","null","840299595565547522","null","False","0.0","8.4029959556554752E17","null","False","Fri Mar 10 20:33:30 +0000 2017","null","False","[環資訊息]台化訴願案落幕 台化：欣慰 彰縣府：勝敗未定 環團怒批一錯再錯 https://t.co/3QpUdtBwOs","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/bEoAiMRgsx","http://ift.tt/2mPVbNe","ift.tt/2mPVbNe","21.0","44.0","0.0","44.0","0.0","null","null","840235734128820228","null","False","0.0","8.4023573412882022E17","null","False","Fri Mar 10 16:19:44 +0000 2017","null","False","[蠻野心足訊息]2017年02月捐款徵信 https://t.co/bEoAiMRgsx","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/spJmL0D8IC","http://ift.tt/2lKBCpT","ift.tt/2lKBCpT","36.0","59.0","0.0","59.0","0.0","null","null","840183812512481282","null","False","0.0","8.4018381251248128E17","null","False","Fri Mar 10 12:53:25 +0000 2017","null","False","[護家盟訊息]投書／社會住宅給同性伴侶特權  恐排擠弱勢民眾的居住權益 https://t.co/spJmL0D8IC","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/dD5DgxxFLA","http://ift.tt/2m9WTFu","ift.tt/2m9WTFu","25.0","48.0","0.0","48.0","0.0","null","null","840147281047310337","null","False","0.0","8.4014728104731034E17","null","False","Fri Mar 10 10:28:15 +0000 2017","null","False","[環資訊息]手牽手的美麗 手繪紀錄嘉明湖手作步道 https://t.co/dD5DgxxFLA","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/3032NnPEA3","http://ift.tt/2lKdfZx","ift.tt/2lKdfZx","30.0","53.0","0.0","53.0","0.0","null","null","840145282352349184","null","False","0.0","8.4014528235234918E17","null","False","Fri Mar 10 10:20:19 +0000 2017","null","False","[公民參與媒改]【新聞稿】女模命案 媒體是在守門還是鬧事？ https://t.co/3032NnPEA3","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/3kI6I9onp6","http://ift.tt/2mq4JM7","ift.tt/2mq4JM7","12.0","35.0","0.0","35.0","0.0","null","null","840128384529186816","null","False","0.0","8.4012838452918682E17","null","False","Fri Mar 10 09:13:10 +0000 2017","null","False","[環資訊息]海邊佈告欄 https://t.co/3kI6I9onp6","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/bNbfMYFEsE","http://ift.tt/2mI2iqF","ift.tt/2mI2iqF","43.0","66.0","0.0","66.0","0.0","null","null","840127893304877059","null","False","0.0","8.4012789330487706E17","null","False","Fri Mar 10 09:11:13 +0000 2017","null","False","[慈林基金會]分享「二二八事件暨林家祖孫受難」2017年追思紀念活動_戴寶村教授致詞 https://t.co/bNbfMYFEsE","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/nBfMvAEaYp","http://ift.tt/2mspVTj","ift.tt/2mspVTj","30.0","53.0","0.0","53.0","0.0","null","null","840122844193292289","null","False","0.0","8.4012284419329229E17","null","False","Fri Mar 10 08:51:09 +0000 2017","null","False","慈林教育基金會 just uploaded a video https://t.co/nBfMvAEaYp","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/EPjAkNjQep","http://ift.tt/2m9G7q3","ift.tt/2m9G7q3","30.0","53.0","0.0","53.0","0.0","null","null","840119598150123521","null","False","0.0","8.4011959815012352E17","null","False","Fri Mar 10 08:38:15 +0000 2017","null","False","[環資訊息]撤銷！台化案進入延長賽  彰化縣府還可重新准駁 https://t.co/EPjAkNjQep","zh","null","null","null","","","","","","","","","","","","","",""
